file_id,row,column,OD_730_pr_raw,blank_OD_730,OD_730_pr_bc,fl_raw,blank_fl,fl_bc,sample_id,sample_type,sample_vol,blank_vol,strain,induction,timepoint,OD_730_pr,fl
20210930_t2.xls,F,3,0.4214,0.3531,0.0683,11,11.5,-0.5,20210930_2_6,sample,800,0,Prha,+,2,0.0683,-0.5
20210930_t2.xls,G,1,0.4222,0.3531,0.0691,11.6667,11.5,0.1667,20210930_2_7,sample,800,0,petE,-,2,0.0691,0.1667
20210930_t2.xls,G,2,0.4016,0.3531,0.0485,11.6667,11.5,0.1667,20210930_2_7,sample,800,0,petE,-,2,0.0485,0.1667
20210930_t2.xls,G,3,0.4058,0.3531,0.0527,11.6667,11.5,0.1667,20210930_2_7,sample,800,0,petE,-,2,0.0527,0.1667
20210930_t2.xls,H,1,0.4082,0.3531,0.0551,11.6667,11.5,0.1667,20210930_2_8,sample,800,0,petE,+,2,0.0551,0.1667
20210930_t2.xls,H,2,0.4031,0.3531,0.05,12.3333,11.5,0.8333,20210930_2_8,sample,800,0,petE,+,2,0.05,0.8333
20210930_t2.xls,H,3,0.3979,0.3531,0.0448,11.6667,11.5,0.1667,20210930_2_8,sample,800,0,petE,+,2,0.0448,0.1667
20210930_t24.xls,A,1,0.4085,0.3453,0.0632,16,15.6667,0.3333,20210930_24_1,sample,200,600,EVC,-,24,0.2528,1.3333
20210930_t24.xls,A,2,0.409,0.3453,0.0636,15,15.6667,-0.6667,20210930_24_1,sample,200,600,EVC,-,24,0.2546,-2.6667
20210930_t24.xls,A,3,0.4147,0.3453,0.0693,15,15.6667,-0.6667,20210930_24_1,sample,200,600,EVC,-,24,0.2774,-2.6667
20210930_t24.xls,B,1,0.3998,0.3453,0.0545,14.6667,15.6667,-1,20210930_24_2,sample,200,600,EVC,+,24,0.2179,-4
20210930_t24.xls,B,2,0.406,0.3453,0.0607,14,15.6667,-1.6667,20210930_24_2,sample,200,600,EVC,+,24,0.2427,-6.6667
20210930_t24.xls,B,3,0.4169,0.3453,0.0715,15,15.6667,-0.6667,20210930_24_2,sample,200,600,EVC,+,24,0.2862,-2.6667
20210930_t24.xls,C,1,0.4092,0.3453,0.0639,15.6667,15.6667,0,20210930_24_3,sample,200,600,J23100,-,24,0.2555,0
